Title,Detail,Price(in dollar),Offer price(in dollar),Number of bed,Rating,Number of Reviews,Start Date,End Date,Length of Stay
"Tiny home in Maynooth, Canada",Cozy Cabin #2 - private cabin in the wilderness!,71.0,141.0,2.0,4.89,90.0,2024-06-04,2024-01-09,-147
"Tiny home in Canning, Canada",Split View Two,134.0,156.56024096385542,1.0,4.95,81.0,2024-08-02,2024-01-07,-208
"Cottage in Luquillo, Puerto Rico",The Sugar Shack a unique cabin in the Rainforest,75.0,156.56024096385542,2.0,4.92,447.0,2024-09-04,2024-01-09,-239
"Condo in Lahaina, Hawaii, US",Noelani-My Perfect Stays Special: Jun 9-16 $189,302.0,156.56024096385542,1.0,4.82,71.0,2024-06-09,2024-01-14,-147
"Condo in Hollywood, Florida, US",Amazing Hyde One-bedroom apartment on the Beach,248.0,156.56024096385542,2.0,4.56,62.0,2024-06-04,2024-01-09,-147
"Cabin in Naples, New York, US",East hill cabins #1,91.0,156.56024096385542,2.0,4.82,334.0,2024-06-11,2024-01-16,-147
"Campsite in Nemaiah Valley, Canada",Sunset Wilderness Camp,34.0,156.56024096385542,1.0,4.0,3.0,2024-06-01,2024-01-06,-147
"Loft in The Blue Mountains, Canada",Chateau Ridge Chalet w/ Mountain View,154.0,156.56024096385542,4.0,4.84,95.0,2024-06-05,2024-01-12,-145
"Loft in The Blue Mountains, Canada",Cozy Blue Mountain Retreat @!@Spring Rates@!@,118.0,156.56024096385542,2.0,4.72,365.0,2024-06-04,2024-01-09,-147
"Room in Mexico City, Mexico",5 min to Airport with Terrace in a Safe area !,31.0,156.56024096385542,1.0,4.85,227.0,2024-06-03,2024-01-08,-147
"Tiny home in Komoka, Canada",The Cabin at Fernwood Hills,112.0,156.56024096385542,1.0,4.9,597.0,2024-06-11,2024-01-16,-147
"Place to stay in Punta Cana, Dominican Republic",Hut #3 Romantic Luxury on the sand,132.0,156.56024096385542,2.0,4.86,29.0,2024-07-11,2024-01-16,-177
"Home in Hilbert, Wisconsin, US",State Park A-Frame with Hiking Trails & Arcade,239.0,156.56024096385542,2.0,4.97,29.0,2024-06-04,2024-01-09,-147
"Dome in Whittier, North Carolina, US",Luxury Dome w/ Hot Tub & Mountain View,291.0,169.0,2.0,5.0,11.0,2024-08-07,2024-01-12,-208
"Place to stay in Punta Cana, Dominican Republic",Hut #3 Romantic Luxury on the sand,132.0,42.0,1.0,4.86,29.0,2024-07-11,2024-01-16,-177
"Home in Hilbert, Wisconsin, US",State Park A-Frame with Hiking Trails & Arcade,239.0,132.0,2.0,4.97,29.0,2024-06-04,2024-01-09,-147
"Home in Puntarenas Province, Costa Rica",House with pool in the heights of Santa Teresa,230.0,47.0,3.0,5.0,6.0,2024-06-04,2024-01-09,-147
"Loft in Monteverde, Costa Rica",Kapetsowa Container Loft near Monteverde Reserve,159.0,161.0,2.0,4.87,396.0,2024-09-05,2024-01-10,-239
"Nature lodge in Quesada, Costa Rica",Cabin Over a water fall,82.0,156.56024096385542,1.0,4.94,133.0,2024-06-05,2024-01-10,-147
"Boat in Key West, Florida, US",Cozy Houseboat “Wild One”,233.0,156.56024096385542,2.0,5.0,4.0,2024-06-11,2024-01-16,-147
"Cabin in Zapotal, Costa Rica",Pipe’s Lodge,51.0,156.56024096385542,1.0,4.87,31.0,2024-06-04,2024-01-09,-147
"Tiny home in Playa Hermosa, Costa Rica",Beachfront Bungalow with private hydromassage Pool,162.0,156.56024096385542,1.0,4.95,149.0,2024-07-03,2024-01-09,-176
"Loft in Mexico City, Mexico",Loft Boutique Cd de México Mountain view 🏔,57.0,156.56024096385542,1.0,4.84,155.0,2024-07-09,2024-01-14,-177
"Cabin in Gold Bar, Washington, US",New lux cabin w/mount index view,253.0,156.56024096385542,2.0,4.86,7.0,2024-06-25,2024-01-30,-147
"Tiny home in Orlando, Florida, US",The Little Tree House at Country Club of Orlando,127.0,156.56024096385542,1.0,4.98,604.0,2024-07-09,2024-01-14,-177
"Boat in Marathon, Florida, US",Paradise awaits on this cozy houseboat!,276.0,156.56024096385542,1.0,4.77,98.0,2024-07-17,2024-01-22,-177
"Hut in Uvero Alto - Bavaro - Punta Cana, Dominican Republic",Hut #2 Romantic Luxury on the sand,186.0,156.56024096385542,2.0,4.94,226.0,2024-08-01,2024-01-06,-208
"Loft in Mazamitla, Mexico",Loft ALAMO /El Refugio Cabañas Mazamitla,58.0,161.0,2.0,4.44,146.0,2024-06-25,2024-01-30,-147
"Hut in Uvero Alto - Bavaro - Punta Cana, Dominican Republic",Hut #2 Romantic Luxury on the sand,186.0,192.0,2.0,4.94,226.0,2024-08-01,2024-01-06,-208
"Apartment in Punta Cana, Dominican Republic",Pool View Beach Residence / Private Beach Access,37.0,132.0,1.0,4.71,156.0,2024-06-21,2024-01-26,-147
"Boat in Stuart, Florida, US",Modern Houseboat On the water,173.0,49.0,1.0,4.97,264.0,2024-08-06,2024-01-11,-208
"Apartment in Playa del Carmen, Mexico",BoHo lofts & studios new modern w/ ocean-view pool,38.0,156.56024096385542,1.0,4.59,183.0,2024-06-01,2024-01-07,-146
"Condo in Miami Beach, Florida, US",Oceanfront 14th Floor Brand New Beachfront Flat,302.0,156.56024096385542,2.0,4.85,646.0,2024-06-14,2024-01-19,-147
"Earthen home in Weaverville, North Carolina, US",Hobbithenge,142.0,156.56024096385542,1.0,4.83,304.0,2024-06-05,2024-01-10,-147
"Shipping container in Playa Hermosa, Costa Rica",Beachfront Bungalow w/ private hydromassage pool 2,147.0,156.56024096385542,2.0,4.9,68.0,2024-06-10,2024-01-15,-147
"Camper/RV in Half Moon Bay, California, US",Quiet and Private Retreat in a 1967 Airstream on the Coast.,220.0,156.56024096385542,2.0,4.93,347.0,2024-06-25,2024-01-30,-147
"Dome in Hiawassee, Georgia, US",Tiny Dome River Glamping Experience,143.0,156.56024096385542,1.0,4.86,289.0,2024-06-18,2024-01-23,-147
"Apartment in San José, Costa Rica",New Boho Sabana Apartment Close to Airports w/ AC,89.0,156.56024096385542,1.0,4.85,81.0,2024-06-23,2024-01-28,-147
"Condo in Rosarito, Mexico",Elegant Ocean Front Condo! Rosarito Beach !WOW!!,171.0,156.56024096385542,2.0,4.81,245.0,2024-06-10,2024-01-15,-147
"Condo in Atlantic City, New Jersey, US",Highest Reviewed - Ocean Front + Free Parking!,170.0,156.56024096385542,2.0,4.85,278.0,2024-06-18,2024-01-23,-147
"Home in Cabo San Lucas, Mexico","Cabo Center,Ocean view Great price!",55.0,156.56024096385542,1.0,4.94,615.0,2024-06-06,2024-01-11,-147
"Home in Kawartha Lakes, Canada",nortehaus - Nordic and Japanese inspired escape,402.0,156.56024096385542,2.0,5.0,24.0,2024-06-18,2024-01-23,-147
"Loft in Cholula, Mexico",Architect's Loft in Cholula,32.0,25.0,1.0,4.81,202.0,2024-06-18,2024-01-23,-147
"Tiny home in Malibu, California, US","Malibu Charming GH, Mins Drive to Beach & Hike",332.0,85.0,1.0,4.78,558.0,2024-07-22,2024-01-27,-177
"Apartment in Orlando, Florida, US",Studio near Disney,80.0,266.0,1.0,4.43,132.0,2024-06-10,2024-01-15,-147
"Treehouse in Río Grande, Puerto Rico",Charming Treehouse with Pool,217.0,330.0,1.0,5.0,172.0,2024-09-10,2024-01-15,-239
"Loft in Mazatlán, Mexico",Oceanfront loft,100.0,253.0,2.0,4.92,177.0,2024-06-10,2024-01-15,-147
"Apartment in Cancún, Mexico",Majestic Ocean Front Terrace II,57.0,156.56024096385542,2.0,4.83,240.0,2024-07-23,2024-01-29,-176
"Home in Real Montecassino, Mexico",New! Bamboo Bosque Mio (Stars & Campfires),113.0,156.56024096385542,3.0,4.82,56.0,2024-06-04,2024-01-09,-147
"Cottage in Huntsville, Canada","Cabin for 2 w/ Hot Tub, Muskoka Romantic Getaway",335.0,156.56024096385542,1.0,4.97,179.0,2024-06-01,2024-01-06,-147
"Apartment in La Habana, Cuba",Old Havana+Cuban Style Place+Roof Top+WiFi,57.0,156.56024096385542,1.0,4.48,161.0,2024-06-04,2024-01-09,-147
"Home in Vero Beach, Florida, US","Heated Pool, Putt Putt Golf",468.0,156.56024096385542,5.0,4.93,15.0,2024-06-11,2024-01-16,-147
"Room in Cuauhtémoc, , Mexico",Guest Suite in Historic Architecture Home,55.0,156.56024096385542,2.0,4.82,443.0,2024-06-16,2024-01-23,-145
"Apartment in Tulum, Mexico",Design Casa Patchouli with private pool and lounge,283.0,156.56024096385542,1.0,4.98,80.0,2024-06-21,2024-01-26,-147
"Shipping container in Jauca, Puerto Rico",Pequeño espacio Romántico piscina y muelle privado,220.0,156.56024096385542,1.0,4.95,139.0,2024-07-17,2024-01-22,-177
"Tiny home in Peachland, Canada",Haven in the Woods- tiny home WiFi & solar power,76.0,156.56024096385542,1.0,5.0,4.0,2024-06-11,2024-01-16,-147
"Shipping container in Puerto Viejo de Talamanca, Costa Rica",Mimosa Y - Beautiful Unique Container Home w' Pool,90.0,156.56024096385542,1.0,4.85,54.0,2024-06-03,2024-01-08,-147
"Shipping container in Puerto Viejo de Talamanca, Costa Rica",Mimosa Y - Beautiful Unique Container Home w' Pool,90.0,522.0,1.0,4.85,54.0,2024-06-03,2024-01-08,-147
"Apartment in Acapulco, Mexico",COMFORTABLE BEACH DEPA OVERLOOKING THE SEA,42.0,96.0,1.0,4.57,226.0,2024-06-04,2024-01-09,-147
"Yurt in Airville, Pennsylvania, US",Waterfront Glamping Muddy Creek PA,102.0,156.56024096385542,1.0,4.95,22.0,2024-06-04,2024-01-10,-146
"Room in Acapulco, Mexico",Love nest when singing of the Sea!,41.0,156.56024096385542,9.0,4.68,266.0,2024-06-06,2024-01-11,-147
"Farm stay in Siler City, North Carolina, US",Lovely farm cabin experience,114.0,156.56024096385542,2.0,5.0,5.0,2024-06-11,2024-01-16,-147
"Tiny home in Horning's Mills, Canada",Pine River Bunkies: Heron’s Landing Off Grid Cabin,120.0,156.56024096385542,2.0,4.89,103.0,2024-06-01,2024-01-06,-147
"Camper/RV in Ashford, Washington, US",The Alpine Airstream at Mt. Rainier with Hot Tub,286.0,156.56024096385542,1.0,5.0,11.0,2024-06-11,2024-01-16,-147
"Hut in Guarne, Colombia",Refugio LOS PAPIROS,18.0,156.56024096385542,3.0,4.89,66.0,2024-06-04,2024-01-09,-147
"Room in Acapulco, Mexico",Beach crab.,43.0,156.56024096385542,3.0,4.74,270.0,2024-06-01,2024-01-06,-147
"Cabin in Fennville, Michigan, US",Fire & Water | Rejuvenating Stay on the Riverbend,743.0,156.56024096385542,1.0,4.83,175.0,2024-06-04,2024-01-09,-147
"Home in Tamanique, El Salvador",Black rose -Right house-,243.0,156.56024096385542,1.0,4.63,275.0,2024-06-11,2024-01-16,-147
"Nature lodge in Las Galeras, Dominican Republic","Casa El Paraiso, Las Galeras (room #5)",286.0,156.56024096385542,3.0,4.94,270.0,2024-06-10,2024-01-15,-147
"Room in Monteverde, Costa Rica",Holistic House Diamond,160.0,156.56024096385542,3.0,4.96,274.0,2024-06-05,2024-01-11,-146
"Tiny home in Malibu, California, US","Malibu Serene Guest House, Mins to Beach & Hike",252.0,156.56024096385542,3.0,4.77,298.0,2024-06-25,2024-01-30,-147
"Apartment in Cancún, Mexico",Free Transportation / Premium Beach Loft 1711th,138.0,156.56024096385542,3.0,5.0,15.0,2024-06-01,2024-01-06,-147
"Cabin in Gilmour, Canada",Cozy cabin on 5 acres !,86.0,114.0,2.0,4.73,124.0,2024-06-04,2024-01-09,-147
"Condo in Ocean City, Maryland, US",OceanfrontStudio-Slps4-Pool-Pickleball-HBOMax-Dis+,291.0,191.0,2.0,4.94,80.0,2024-06-09,2024-01-16,-145
"Apartment in Cancún, Mexico",Amazing Ocean Front II,45.0,41.0,1.0,4.88,306.0,2024-07-09,2024-01-14,-177
"Condo in Rosarito, Mexico",LUXE & STYLISH/3BR/LAS OLAS CONDO/12TH FLR/ROSARITO,173.0,138.0,4.0,4.8,207.0,2024-06-11,2024-01-16,-147
"Room in New York, New York, US","Lovely Private Room-Manhattan, 70s-Upper East Side",103.0,89.0,1.0,4.93,30.0,2024-07-09,2024-01-14,-177
"Cottage in Islamorada, Florida, US",1 BD PRIVATE HOUSEBOAT/ COTTAGE TARPON,229.0,156.56024096385542,1.0,4.85,74.0,2024-08-06,2024-01-11,-208
"Apartment in Gordonville, Pennsylvania, US",“What a wonderful world” - Modern Farmhouse,165.0,156.56024096385542,1.0,4.87,478.0,2024-06-04,2024-01-09,-147
"Cottage in Quintana Roo, Mexico",Glass Roof House #2 at Glass 20.87,221.0,156.56024096385542,2.0,4.93,68.0,2024-06-10,2024-01-15,-147
"Apartment in Marina del Rey, California, US",Romantic Ocean Penthouse w/ panoramic marina views,247.0,156.56024096385542,1.0,4.77,111.0,2024-06-01,2024-01-08,-145
"Hotel in Tepoztlán, Mexico",Posada Sarita,50.0,156.56024096385542,3.0,4.56,176.0,2024-06-03,2024-01-10,-145
"Cottage in Oceanside, California, US","Beach Bungalow on the Sand, Steps to the Ocean",483.0,156.56024096385542,2.0,4.93,213.0,2024-06-03,2024-01-08,-147
"Apartment in Los Angeles, California, US",Historic Venice Apt 1/2 blocks to beach+parking,185.0,156.56024096385542,2.0,4.94,431.0,2024-11-16,2024-01-21,-300
"Home in Cape Coral, Florida, US",Amazing Modern Home with Pool and Hot Tub!,167.0,156.56024096385542,2.0,4.84,136.0,2024-07-11,2024-01-16,-177
"Condo in Malibu, California, US","Malibu, Carbon Beach - Suite Three",649.0,156.56024096385542,3.0,4.8,425.0,2024-06-04,2024-01-09,-147
"Farm stay in Saint Marys, Canada",Cozy Farm Stay Getaway,99.0,156.56024096385542,2.0,4.86,183.0,2024-06-11,2024-01-16,-147
"Tiny home in Mill Village, Canada",UpStream (Waterfront Cabin With Wood Stove & WiFi),97.0,156.56024096385542,1.0,4.87,101.0,2024-06-25,2024-01-30,-147
"Cabin in Mineral Bluff, Georgia, US",Scenic Solitude-Amazing Mountain views on 5 acres,302.0,175.0,2.0,5.0,44.0,2024-06-04,2024-01-09,-147
"Room in New York, New York, US","Lovely Private Room-Manhattan, 70s-Upper East Side",103.0,114.0,1.0,4.93,30.0,2024-07-09,2024-01-14,-177
"Cottage in Islamorada, Florida, US",1 BD PRIVATE HOUSEBOAT/ COTTAGE TARPON,229.0,191.0,1.0,4.85,74.0,2024-08-06,2024-01-11,-208
"Apartment in Gordonville, Pennsylvania, US",“What a wonderful world” - Modern Farmhouse,165.0,41.0,1.0,4.87,478.0,2024-06-04,2024-01-09,-147
"Cottage in Quintana Roo, Mexico",Glass Roof House #2 at Glass 20.87,221.0,138.0,1.0,4.93,68.0,2024-06-10,2024-01-15,-147
"Condo in Luquillo, Puerto Rico",“Playa Luna”- Breathtaking Ocean and City Views,138.0,89.0,1.0,4.88,159.0,2024-07-02,2024-01-07,-177
"Room in Malibu, California, US","Peace, Beauty & Ocean View, Malibu",189.0,165.0,1.0,4.95,1014.0,2024-09-12,2024-01-17,-239
"Treehouse in Sundridge, Canada",Lount Treetop Rentals - Unit 2,135.0,48.0,1.0,4.97,173.0,2024-06-01,2024-01-06,-147
"Apartment in Marina del Rey, California, US",Romantic Ocean Penthouse w/ panoramic marina views,247.0,156.56024096385542,2.0,4.77,111.0,2024-06-01,2024-01-08,-145
"Hotel in Tepoztlán, Mexico",Posada Sarita,50.0,156.56024096385542,3.0,4.56,176.0,2024-06-03,2024-01-10,-145
"Home in Cape Coral, Florida, US",Amazing Modern Home with Pool and Hot Tub!,167.0,156.56024096385542,1.0,4.84,136.0,2024-07-11,2024-01-16,-177
"Farm stay in Saint Marys, Canada",Cozy Farm Stay Getaway,99.0,156.56024096385542,2.0,4.86,183.0,2024-06-11,2024-01-16,-147
"Apartment in Galveston, Texas, US",Beach Front Condo In Casa Del Mar,205.0,156.56024096385542,2.0,4.72,389.0,2024-06-18,2024-01-24,-146
"Apartment in Laguna Beach, California, US",Laguna Beach Studio Oceanviews 49,148.0,156.56024096385542,2.0,4.36,273.0,2024-06-01,2024-01-06,-147
"Apartment in Punta Cana, Dominican Republic",Charming Beach Condo in Bavaro Top Location,57.0,156.56024096385542,1.0,4.76,200.0,2024-06-03,2024-01-08,-147
"Cabin in Woodford, Vermont, US",400+ Airbnb Visits: Incredible Mountain Cabin,137.0,156.56024096385542,2.0,4.85,325.0,2024-06-04,2024-01-09,-147
"Cabin in Bowen Island, Canada",the legendary wildwood cabins ~ CABIN 2,126.0,156.56024096385542,2.0,4.99,742.0,2024-09-24,2024-01-29,-239
"Hotel room in Laguna Beach, California, US",Oceanfront Laguna Beach Amazing Views 28,276.0,156.56024096385542,2.0,4.63,390.0,2024-06-04,2024-01-09,-147
"Place to stay in Hopatcong, New Jersey, US",Lake Sports Home & Super water sports!,154.0,233.0,3.0,5.0,18.0,2024-08-20,2024-01-25,-208
